Time: 20190718-151253, Setting: miniImageNet_to_CUB-novel-ResNet10-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 43.45% +- 0.58% 
<<<<<<< HEAD
Time: 20190731-171401, Setting: miniImageNet-novel-ResNet10-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 52.78% +- 0.58% 
Time: 20190731-173408, Setting: miniImageNet-novel-ResNet10-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 84.13% +- 0.52% 
Time: 20190731-180213, Setting: miniImageNet-novel-ResNet10-baseline-aug 20shot 5way_test, Acc: 600 Test Acc = 94.45% +- 0.36% 
Time: 20190731-182707, Setting: miniImageNet-novel-ResNet10-matchingnet-aug 5shot 5way_train 5way_test, Acc: 600 Test Acc = 35.68% +- 0.51% 
Time: 20190731-182910, Setting: miniImageNet-novel-ResNet10-matchingnet-aug 20shot 5way_train 5way_test, Acc: 600 Test Acc = 20.00% +- 0.00% 
Time: 20190731-183656, Setting: miniImageNet-novel-ResNet10-protonet-aug 20shot 5way_train 5way_test, Acc: 600 Test Acc = 49.50% +- 0.55% 
Time: 20190731-184248, Setting: miniImageNet-novel-ResNet10-relationnet-aug 20shot 5way_train 5way_test, Acc: 600 Test Acc = 41.77% +- 0.49% 
Time: 20190731-185115, Setting: miniImageNet-novel-ResNet10-relationnet-aug 20shot 5way_train 5way_test, Acc: 600 Test Acc = 74.43% +- 0.66% 
Time: 20190731-185311, Setting: miniImageNet-novel-ResNet10-protonet-aug 20shot 5way_train 5way_test, Acc: 600 Test Acc = 82.27% +- 0.57% 
Time: 20190731-185749, Setting: miniImageNet-novel-ResNet10-protonet-aug 20shot 5way_train 5way_test, Acc: 600 Test Acc = 88.15% +- 0.51% 
Time: 20190731-190211, Setting: miniImageNet-novel-ResNet10-relationnet-aug 20shot 5way_train 5way_test, Acc: 600 Test Acc = 80.45% +- 0.64% 
